id,description,canonical_file,status,reason
source_provenance,Source/provenance records,artifacts/crack_rebonding_part_x_v1/source_provenance.json,PRESENT_AND_VERIFIED,
config_and_bundle_hashes,Configuration and source-bundle hashes,"artifacts/crack_rebonding_part_x_v1/part_x_producer_launch_provenance_closure.json (+ file_hashes.json, inherited_artifact_hashes.json)",PRESENT_AND_VERIFIED,
analytical_kinetic_regime_atlas,Analytical kinetic-regime atlas,"artifacts/crack_rebonding_part_x_v1/analytical_phase_atlas.csv (+ .parquet, kinetic_regime_registry.json)",PRESENT_AND_VERIFIED,
screen_registry_and_ledger,Screen registry and screen event ledger,"artifacts/crack_rebonding_part_x_v1/screen_job_registry.csv, artifacts/crack_rebonding_part_x_v1/screen_event_ledger.json",PRESENT_AND_VERIFIED,
developed_registry_and_ledger,Developed registry and developed event ledger,"artifacts/crack_rebonding_part_x_v1/developed_job_registry.csv, artifacts/crack_rebonding_part_x_v1/developed_event_ledger.json",PRESENT_AND_VERIFIED,
px5_registry_and_ledger,PX5 static-control registry and event ledger,"artifacts/crack_rebonding_part_x_v1/px5_static_shield_job_registry.csv (+ wall_budget_retry_registry.csv), artifacts/crack_rebonding_part_x_v1/px5_event_ledger.json",PRESENT_AND_VERIFIED,
rate_tables,Rate tables,artifacts/crack_rebonding_part_x_v1/px4_stage1_rate_table.csv,PRESENT_AND_VERIFIED,
slope_and_curvature_tables,Slope and curvature tables,"artifacts/crack_rebonding_part_x_v1/px4_stage1_slope_table.csv (global 3-point fit), artifacts/crack_rebonding_part_x_v1/px4_local_slope_curvature_table.csv (local secant + curvature)",GENERATED_IN_FINAL_CLOSURE,
seed_robustness_table,Seed-robustness table,artifacts/crack_rebonding_part_x_v1/px4_stage1_slope_table.csv,PRESENT_AND_VERIFIED,
attempt_registry,Attempt registry,"artifacts/crack_rebonding_part_x_v1/developed_attempt_registry.csv, artifacts/crack_rebonding_part_x_v1/px5_attempt_registry.csv",PRESENT_AND_VERIFIED,
censor_registry,Censor registry,"artifacts/crack_rebonding_part_x_v1/developed_censor_registry.csv, artifacts/crack_rebonding_part_x_v1/px5_censor_registry.csv",PRESENT_AND_VERIFIED,
invalidated_dwell_bug_records,Invalidated dwell-bug records,artifacts/crack_rebonding_part_x_v1/px3_bug_invalidated_trajectories.json,PRESENT_AND_VERIFIED,
transition_action_flux_table,Transition-action and transition-flux table,"artifacts/crack_rebonding_part_x_v1/analytical_phase_atlas.csv (A_CB/A_BC/A_PC/A_CP, F_CB/F_BC/F_PC/F_CP columns)",PRESENT_AND_VERIFIED,
contact_exposure_table,Contact-exposure table,artifacts/crack_rebonding_part_x_v1/analytical_phase_atlas.csv (contact_time_s/contact_time_sinusoid_s/contact_time_dwell_s columns),PRESENT_AND_VERIFIED,
R_sensitivity_table,R-sensitivity table,artifacts/crack_rebonding_part_x_v1/px3_screen_pair_analysis.csv (protocol=7.1_R_panel) + px4_scientific_decision.json (D1_vs_D2),PRESENT_AND_VERIFIED,
frequency_sensitivity_table,Frequency-sensitivity table,"artifacts/crack_rebonding_part_x_v1/px3_screen_pair_analysis.csv (protocol=7.2_frequency_panel), artifacts/crack_rebonding_part_x_v1/px3_5_frequency_bisection.json + px4_scientific_decision.json (D2_vs_D3)",PRESENT_AND_VERIFIED,
dwell_sensitivity_table,Dwell-sensitivity table,"artifacts/crack_rebonding_part_x_v1/px3_screen_pair_analysis.csv (protocol=7.3_dwell_panel), artifacts/crack_rebonding_part_x_v1/px3_5_dwell_audit_classification.json",PRESENT_AND_VERIFIED,
passivation_chemistry_table,Passivation/chemistry-sensitivity table,"artifacts/crack_rebonding_part_x_v1/px3_screen_pair_analysis.csv (protocol=7.5_passivation_chemistry), artifacts/crack_rebonding_part_x_v1/px3_6_passivation_requalification.json + px4_scientific_decision.json (D2_vs_D5)",PRESENT_AND_VERIFIED,
cohesive_strength_table,Cohesive-strength-sensitivity table,artifacts/crack_rebonding_part_x_v1/px3_screen_pair_analysis.csv (protocol=7.6_cohesive_strength),PRESENT_AND_VERIFIED,
reversible_vs_persistent_comparison,Reversible-versus-persistent comparison,artifacts/crack_rebonding_part_x_v1/px3_screen_pair_analysis.csv (protocol=7.4_reversible_vs_persistent[_at_transition]) + px4_scientific_decision.json (D3_vs_D6),PRESENT_AND_VERIFIED,
static_vs_dynamic_attribution_table,Static-versus-dynamic attribution table,artifacts/crack_rebonding_part_x_v1/px5_static_shield_analysis.csv,PRESENT_AND_VERIFIED,
censor_admissibility_map,Censor/admissibility map,artifacts/crack_rebonding_part_x_v1/part_x_admissibility_map.csv,GENERATED_IN_FINAL_CLOSURE,
final_decision,Final decision,artifacts/crack_rebonding_part_x_v1/part_x_final_decision.json,GENERATED_IN_FINAL_CLOSURE,
terminal_verification,Terminal verification,artifacts/crack_rebonding_part_x_v1/part_x_terminal_verification.json,GENERATED_IN_FINAL_CLOSURE,
final_handoff,Final handoff,artifacts/crack_rebonding_part_x_v1/part_x_final_handoff.md,GENERATED_IN_FINAL_CLOSURE,
producer_launch_provenance_closure,Producer-versus-launch source-identity closure,artifacts/crack_rebonding_part_x_v1/part_x_producer_launch_provenance_closure.json,GENERATED_IN_FINAL_CLOSURE,
closure_corrected_deltaK_eff,Closure-corrected DeltaK_eff,N/A,NOT_APPLICABLE_WITH_REASON,"Explicitly out of Part X scope -- the campaign uses a signed-K surrogate contact model (SURROGATE_SIGNED_K_CONTACT_NOT_RESOLVED_FACE_CONTACT), never resolves opposing-face contact, and never computes a closure-corrected DeltaK_eff. This is a scope boundary, not a gap."
resolved_face_contact_model,Resolved opposing-face contact model,N/A,NOT_APPLICABLE_WITH_REASON,"Out of scope by design (surrogate signed-K compression-conditioning is the qualified contact model for this campaign); resolving true opposing-face contact would require a different constitutive model, not an analysis-only closure step."
topological_healing_model,Topological crack-healing model,N/A,NOT_APPLICABLE_WITH_REASON,Out of scope by design (TOPOLOGICAL_HEALING_NOT_MODELED) -- the hazard-only cohesive-feedback surrogate never models topological reconnection of crack faces.
calibrated_chemistry_parameterization,Calibrated physical chemistry parameterization,N/A,NOT_APPLICABLE_WITH_REASON,"Out of scope (PHYSICAL_CHEMISTRY_PARAMETERIZATION_NOT_CALIBRATED) -- chemistry_factor and the bond/rupture/depassivation/repassivation barriers are analytically constructed reference values (PX2's zero-fitting kinetic-regime characterization), never calibrated against an experimental measurement."
transient_static_shield_explanatory_power,Transient (pre-developed-window) explanatory power of static shielding,N/A,NOT_ARCHIVED_WITH_EXPLICIT_LIMITATION,"PX5's S_h_static/S_h_dynamic comparison is computed ONLY over the stable/developed window (stable_growth_gate's developed_interval); no PX5 analysis characterizes the TRANSIENT (first ~20um) approach to that window. The raw event-by-event data needed to do so IS archived in px5_event_ledger.json (every event, including the transient ones), so this is a genuinely available-but-unanalyzed limitation, not an unrecoverable data gap."
px5_d1_d3_d6_static_attribution,PX5 static-shield attribution for D1/D3/D6,N/A,NOT_APPLICABLE_WITH_REASON,"Explicitly out of PX5's prescribed scope (D2/D5 only, per the review's own scope-restriction instruction: 'do NOT expand to D1/D3/D6 without new prospective reason'). No physical trajectories exist for this comparison and none were launched to manufacture one."
